hosuing	VVG	hosuing
completions	NNS	completion
fell	VVD	fall
pct	JJ	pct
january	JJ	january
completions	NNS	completion
new	JJ	new
homes	NNS	home
fell	VVD	fall
pct	JJ	pct
january	NN	January
seasonally	RB	seasonally
adjusted	VVN	adjust
rate	NN	rate
mln	NN	mln
units	NNS	unit
mln	NN	mln
december	NN	December
commerce	NN	commerce
department	NN	department
said	VVD	say
january	JJ	january
fall	NN	fall
came	VVD	come
strong	JJ	strong
pct	NN	Pct
rise	NN	rise
november	NN	November
rate	NN	rate
mln	NN	mln
units	NNS	unit
brought	VVD	bring
completions	NNS	completion
pct	VV	pct
january	JJ	january
level	NN	level
mln	NN	mln
units	NNS	unit
january	JJ	january
completions	NNS	completion
single	JJ	single
family	NN	family
units	NNS	unit
rose	VVD	rise
pct	NN	Pct
seasonally	RB	seasonally
adjusted	VVN	adjust
mln	NN	mln
units	NNS	unit
mln	NN	mln
units	NNS	unit
december	NN	December
multi	NN	multi
family	NN	family
units	NNS	unit
fell	VVD	fall
pct	NN	Pct
units	NNS	unit
january	JJ	january
department	NN	department
said	VVD	say
