thai	NP	Thai
trade	NN	trade
deficit	NN	deficit
widens	VVZ	widen
first	JJ	first
quarter	NN	quarter
thailand	NN	thailand
trade	NN	trade
deficit	NN	deficit
widened	VVD	widen
billion	CD	billion
baht	NNS	baht
first	JJ	first
quarter	NN	quarter
billion	CD	billion
year	NN	year
ago	RB	ago
business	NN	business
economics	NNS	economics
department	NN	department
said	VVD	say
said	VVD	say
janunary	JJ	janunary
march	NN	march
imports	NNS	import
rose	VVD	rise
billion	CD	billion
baht	NN	baht
billion	CD	billion
thailand	NN	thailand
improved	VVN	improve
business	NN	business
climate	NN	climate
year	NN	year
resulted	VVD	result
pct	JJ	pct
increase	NN	increase
imports	VVZ	import
raw	JJ	raw
materials	NNS	material
semi	NN	semi
finished	VVD	finish
products	NNS	product
country	NN	country
oil	NN	oil
import	NN	import
bill	NN	bill
however	RB	however
fell	VVD	fall
pct	JJ	pct
first	JJ	first
quarter	NN	quarter
due	RB	due
lower	JJR	low
oil	NN	oil
prices	NNS	price
department	NN	department
said	VVD	say
first	JJ	first
quarter	NN	quarter
exports	NNS	export
expanded	VVD	expand
billion	CD	billion
baht	NN	baht
billion	CD	billion
export	NN	export
growth	NN	growth
smaller	JJR	small
expected	VVN	expect
due	JJ	due
lower	JJR	low
earnings	NNS	earning
many	JJ	many
key	JJ	key
commodities	NNS	commodity
including	VVG	include
rice	NN	rice
whose	WP$	whose
earnings	NNS	earning
declined	VVD	decline
pct	JJ	pct
maize	NN	maize
pct	NN	Pct
sugar	NN	sugar
pct	NN	Pct
tin	NN	tin
pct	NN	Pct
canned	VVD	can
pineapples	NNS	pineapple
seven	CD	seven
pct	NN	Pct
products	NNS	product
registering	VVG	register
high	JJ	high
export	NN	export
growth	NN	growth
jewellery	NN	jewellery
pct	NN	Pct
clothing	NN	clothing
pct	NN	Pct
rubber	NN	rubber
pct	NN	Pct
